model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
INFINITI FX35,3.5,6,Auto-S5,4WD,Gasoline,SUV,6.0,15.0,20.0,17.0,4,no,KIA Forte,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,3.0,25.0,33.0,28.0,6.0,No
INFINITI FX45,4.5,8,Auto-S5,4WD,Gasoline,SUV,6.0,13.0,17.0,14.0,2,no,KIA Forte5,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,3.0,25.0,30.0,27.0,6.0,No
INFINITI G35,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7.0,17.0,24.0,20.0,6,yes,KIA Forte5,1.6,4.0,Man-6,2WD,Gasoline,large car,3.0,23.0,29.0,25.0,5.0,No
INFINITI G35,3.5,6,Man-6,2WD,Gasoline,midsize car,7.0,17.0,25.0,20.0,6,yes,KIA Forte5,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,3.0,25.0,34.0,28.0,6.0,No
INFINITI G35X,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7.0,17.0,23.0,19.0,5,no,KIA Optima,1.6,4.0,AutoMan-7,2WD,Gasoline,large car,3.0,28.0,37.0,31.0,7.0,Yes
INFINITI G37,3.7,6,Man-6,2WD,Gasoline,small car,7.0,17.0,26.0,20.0,6,yes,KIA Optima,2.0,4.0,SemiAuto-6,2WD,Gasoline,large car,3.0,22.0,31.0,25.0,5.0,No
INFINITI G37,3.7,6,Auto-S5,2WD,Gasoline,small car,7.0,18.0,24.0,20.0,6,yes,KIA Optima,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7.0,24.0,34.0,28.0,6.0,No
INFINITI M35,3.5,6,Auto-S5,2WD,Gasoline,large car,6.0,16.0,23.0,19.0,5,no,KIA Optima,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5.0,24.0,34.0,28.0,6.0,No
INFINITI M35X,3.5,6,Auto-S5,4WD,Gasoline,large car,6.0,16.0,22.0,18.0,5,no,KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,7.0,25.0,36.0,29.0,6.0,No
INFINITI M45,4.5,8,Auto-S5,2WD,Gasoline,large car,6.0,16.0,21.0,18.0,5,no,KIA Optima FE,2.4,4.0,SemiAuto-6,2WD,Gasoline,large car,5.0,25.0,36.0,29.0,6.0,No
INFINITI M45X,4.5,8,Auto-S5,4WD,Gasoline,large car,6.0,14.0,20.0,16.0,4,no,KIA Rio,1.6,4.0,Man-6,2WD,Gasoline,small car,3.0,29.0,37.0,32.0,7.0,Yes
INFINITI QX56,5.6,8,Auto-L5,2WD,Gasoline,SUV,6.0,12.0,18.0,14.0,2,no,KIA Rio,1.6,4.0,SemiAuto-6,2WD,Gasoline,small car,3.0,28.0,37.0,32.0,7.0,Yes
INFINITI QX56,5.6,8,Auto-L5,4WD,Gasoline,SUV,6.0,12.0,17.0,14.0,2,no,KIA Sedona,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3.0,18.0,24.0,20.0,4.0,No
JEEP Commander,3.7,6,Auto-L5,2WD,Gasoline,SUV,6.0,14.0,19.0,16.0,4,no,KIA Sedona SX,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3.0,18.0,25.0,21.0,4.0,No
JEEP Commander,3.7,6,Auto-L5,4WD,Gasoline,SUV,6.0,14.0,19.0,16.0,4,no,KIA Sedona SXL,3.3,6.0,SemiAuto-6,2WD,Gasoline,minivan,3.0,17.0,22.0,19.0,3.0,No
JEEP Commander,4.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,14.0,19.0,15.0,3,no,KIA Sorento,2.0,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3.0,20.0,27.0,23.0,5.0,No
JEEP Commander,4.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,18.0,14.0,2,no,KIA Sorento,2.0,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3.0,19.0,25.0,22.0,4.0,No
JEEP Commander,5.7,8,Auto-L5,2WD,Gasoline,SUV,6.0,13.0,19.0,15.0,3,no,KIA Sorento,2.4,4.0,SemiAuto-6,2WD,Gasoline,small SUV,5.0,21.0,28.0,24.0,5.0,No
JEEP Commander,5.7,8,Auto-L5,4WD,Gasoline,SUV,6.0,13.0,17.0,14.0,2,no,KIA Sorento,2.4,4.0,SemiAuto-6,4WD,Gasoline,small SUV,5.0,21.0,25.0,22.0,4.0,No
