model_2008,displ_2008,cyl_2008,trans_2008,drive_2008,fuel_2008,veh_class_2008,air_pollut_2008,city_mpg_2008,hwy_mpg_2008,cmb_mpg_2008,greenhouse_2008,smartway_2008,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,9.5,22.0,31.0,26.0,8,yes,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7.0,24.0,33.0,28.0,6.0,No
PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,9.5,24.0,33.0,27.0,8,yes,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7.0,24.0,33.0,27.0,6.0,No
PONTIAC Pursuit,2.2,4,Auto-L4,2WD,Gasoline,small car,6.0,22.0,31.0,26.0,8,yes,VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7.0,25.0,36.0,29.0,6.0,No
PONTIAC Pursuit,2.2,4,Man-5,2WD,Gasoline,small car,6.0,24.0,33.0,27.0,8,yes,VOLKSWAGEN Tiguan,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,7.0,22.0,27.0,24.0,5.0,No
PONTIAC Pursuit,2.4,4,Auto-L4,2WD,Gasoline,small car,6.0,22.0,31.0,25.0,7,yes,VOLKSWAGEN Tiguan 4Motion,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7.0,21.0,27.0,23.0,5.0,No
PONTIAC Pursuit,2.4,4,Man-5,2WD,Gasoline,small car,6.0,22.0,32.0,26.0,8,yes,VOLVO Atlas,3.6,6.0,SemiAuto-8,2WD,Gasoline,small SUV,5.0,18.0,25.0,20.0,4.0,No
PONTIAC Solstice,2.0,4,Auto-L5,2WD,Gasoline,small car,6.0,19.0,26.0,21.0,6,no,VOLVO Atlas 4Motion,3.6,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5.0,17.0,23.0,19.0,3.0,No
PONTIAC Solstice,2.0,4,Man-5,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6,no,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,25.0,36.0,29.0,6.0,No
PONTIAC Solstice,2.4,4,Auto-L5,2WD,Gasoline,small car,6.0,19.0,24.0,21.0,6,no,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,32.0,26.0,5.0,No
PONTIAC Solstice,2.4,4,Man-5,2WD,Gasoline,small car,6.0,19.0,25.0,21.0,6,no,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
PONTIAC Torrent,3.4,6,Auto-L5,2WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5,no,VOLVO S60 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,30.0,25.0,5.0,No
PONTIAC Torrent,3.4,6,Auto-L5,4WD,Gasoline,SUV,7.0,17.0,24.0,19.0,5,no,VOLVO S60 Inscription,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,3.0,25.0,36.0,29.0,6.0,No
PONTIAC Torrent,3.6,6,Auto-S6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5,no,VOLVO S60 Inscription,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3.0,22.0,33.0,26.0,5.0,No
PONTIAC Torrent,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5,no,VOLVO S60 Polestar,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,1.0,20.0,27.0,22.0,4.0,No
PONTIAC Vibe,1.8,4,Auto-L4,2WD,Gasoline,station wagon,7.0,25.0,31.0,27.0,8,yes,VOLVO S90,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,3.0,24.0,34.0,27.0,6.0,No
PONTIAC Vibe,1.8,4,Man-5,2WD,Gasoline,station wagon,7.0,26.0,33.0,29.0,8,yes,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,22.0,31.0,25.0,5.0,No
PORSCHE 911 GT2,3.6,6,Man-6,2WD,Gasoline,small car,6.0,16.0,23.0,19.0,5,no,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3.0,23.0,32.0,26.0,5.0,No
PORSCHE 911 GT3,3.6,6,Man-6,2WD,Gasoline,small car,6.0,15.0,22.0,18.0,5,no,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,23.0,32.0,26.0,5.0,No
PORSCHE 911 GT3 RS,3.6,6,Man-6,2WD,Gasoline,small car,6.0,15.0,22.0,18.0,5,no,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5.0,22.0,31.0,25.0,5.0,No
PORSCHE 911 Turbo,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,15.0,23.0,18.0,5,no,VOLVO V60,2.0,4.0,SemiAuto-8,2WD,Gasoline,station wagon,3.0,25.0,36.0,29.0,6.0,No
PORSCHE 911 Turbo,3.6,6,Man-6,4WD,Gasoline,small car,6.0,16.0,23.0,18.0,5,no,VOLVO V60,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,3.0,22.0,32.0,26.0,5.0,No
PORSCHE 911 Turbo Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,15.0,23.0,18.0,5,no,VOLVO V60,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,3.0,22.0,33.0,26.0,5.0,No
PORSCHE 911 Turbo Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6.0,15.0,24.0,18.0,5,no,VOLVO V60 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,3.0,22.0,30.0,25.0,5.0,No
PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,26.0,21.0,6,yes,VOLVO V60 Polestar,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,1.0,20.0,27.0,22.0,4.0,No
PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,VOLVO V90,2.0,4.0,SemiAuto-8,2WD,Gasoline,station wagon,5.0,24.0,34.0,27.0,6.0,No
PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7.0,20.0,29.0,23.0,7,yes,VOLVO V90,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5.0,22.0,31.0,25.0,5.0,No
PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7.0,18.0,25.0,21.0,6,yes,VOLVO V90 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5.0,23.0,31.0,26.0,5.0,No
PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7.0,18.0,26.0,21.0,6,yes,VOLVO V90 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5.0,22.0,29.0,25.0,5.0,No
PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5,no,VOLVO XC 60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5.0,22.0,28.0,24.0,5.0,No
PORSCHE Carrera Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,VOLVO XC 60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,5.0,21.0,27.0,23.0,5.0,No
PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,2WD,Gasoline,small car,6.0,18.0,24.0,20.0,6,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,2WD,Gasoline,standard SUV,5.0,22.0,29.0,25.0,5.0,No
PORSCHE Carrera Cabriolet,3.6,6,Man-6,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,5.0,22.0,28.0,24.0,5.0,No
PORSCHE Carrera Coupe,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,5.0,20.0,27.0,23.0,5.0,No
PORSCHE Carrera Coupe,3.6,6,Man-6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,BMW 330e,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,3.0,28.0,34.0,30.0,10.0,Yes
PORSCHE Carrera Coupe,3.6,6,Auto-L5,2WD,Gasoline,small car,6.0,18.0,24.0,20.0,6,no,BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7.0,27.0,31.0,29.0,10.0,Elite
PORSCHE Carrera Coupe,3.6,6,Man-6,2WD,Gasoline,small car,6.0,18.0,26.0,21.0,6,no,BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,7.0,27.0,31.0,28.0,10.0,Elite
PORSCHE Carrera Targa,3.6,6,Auto-L5,4WD,Gasoline,small car,6.0,17.0,24.0,19.0,5,no,BMW 740e,2.0,4.0,SemiAuto-8,4WD,Gasoline,large car,3.0,25.0,29.0,27.0,9.0,Yes
PORSCHE Carrera Targa,3.6,6,Man-6,4WD,Gasoline,small car,6.0,17.0,25.0,20.0,6,no,CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Ethanol,large car,5.0,14.0,20.0,16.0,4.0,No
PORSCHE Cayenne,3.6,6,Man-6,4WD,Gasoline,SUV,6.0,14.0,20.0,16.0,4,no,CHEVROLET Silverado 15,4.3,6.0,Auto-6,2WD,Ethanol,pickup,5.0,12.0,16.0,14.0,4.0,No
PORSCHE Cayenne,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,14.0,20.0,16.0,4,no,CHEVROLET Silverado 15,4.3,6.0,Auto-6,4WD,Ethanol,pickup,5.0,12.0,15.0,13.0,3.0,No
PORSCHE Cayenne S,4.8,8,Auto-L6,4WD,Gasoline,SUV,7.0,13.0,19.0,15.0,3,no,CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Ethanol,pickup,3.0,12.0,17.0,14.0,3.0,No
PORSCHE Cayenne Turbo,4.8,8,Auto-L6,4WD,Gasoline,SUV,6.0,12.0,19.0,14.0,2,no,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No
PORSCHE Cayman,2.7,6,Auto-L5,2WD,Gasoline,small car,7.0,19.0,26.0,21.0,6,yes,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,15.0,12.0,3.0,No
PORSCHE Cayman,2.7,6,Man-6,2WD,Gasoline,small car,7.0,19.0,28.0,22.0,6,yes,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No
PORSCHE Cayman,2.7,6,Man-5,2WD,Gasoline,small car,7.0,20.0,29.0,23.0,7,yes,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No
PORSCHE Cayman S,3.4,6,Auto-L5,2WD,Gasoline,small car,7.0,18.0,25.0,21.0,6,yes,CHEVROLET Volt,1.5,4.0,CVT,2WD,Gasoline,small car,3.0,43.0,42.0,42.0,10.0,Yes
PORSCHE Cayman S,3.4,6,Man-6,2WD,Gasoline,small car,7.0,18.0,26.0,21.0,6,yes,CHEVROLET Volt,1.5,4.0,CVT,2WD,Gasoline,small car,7.0,43.0,42.0,42.0,10.0,Elite
ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,midsize car,6.0,13.0,19.0,15.0,3,no,CHRYSLER 300,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No
ROLLS-ROYCE Phantom,6.7,12,Auto-S6,2WD,Gasoline,small car,6.0,13.0,19.0,15.0,3,no,CHRYSLER 300,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No
ROUSH Stage 3 F150,5.4,8,Auto-L4,2WD,Gasoline,pickup,7.0,11.0,15.0,13.0,1,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Ethanol,large car,3.0,14.0,22.0,17.0,5.0,No
ROUSH Stage 3 F150,5.4,8,Auto-L4,4WD,Gasoline,pickup,7.0,11.0,15.0,13.0,1,no,DODGE Charger,3.6,6.0,Auto-8,4WD,Ethanol,large car,3.0,13.0,20.0,16.0,4.0,No
ROUSH Stage 3 Mustang,4.6,8,Auto-L5,2WD,Gasoline,small car,7.0,14.0,20.0,16.0,4,no,FORD Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Gasoline,midsize car,7.0,43.0,41.0,42.0,10.0,Elite
ROUSH Stage 3 Mustang,4.6,8,Man-5,2WD,Gasoline,small car,7.0,15.0,20.0,17.0,4,no,GMC Sierra 15,4.3,6.0,Auto-6,2WD,Ethanol,pickup,5.0,12.0,16.0,14.0,4.0,No
SAAB 9-3 Convertible,2.0,4,Auto-S5,2WD,Gasoline,small car,6.0,18.0,24.0,20.0,6,no,GMC Sierra 15,4.3,6.0,Auto-6,4WD,Ethanol,pickup,5.0,12.0,15.0,13.0,3.0,No
SAAB 9-3 Convertible,2.0,4,Man-6,2WD,Gasoline,small car,6.0,18.0,27.0,22.0,6,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Ethanol,pickup,3.0,12.0,17.0,14.0,3.0,No
SAAB 9-3 Convertible,2.8,6,Auto-S6,2WD,Gasoline,small car,6.0,15.0,24.0,18.0,5,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No
SAAB 9-3 Convertible,2.8,6,Man-6,2WD,Gasoline,small car,6.0,16.0,26.0,19.0,5,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,16.0,13.0,3.0,No
SAAB 9-3 Sport Sedan,2.0,4,Auto-S5,2WD,Gasoline,small car,6.0,19.0,26.0,21.0,6,no,GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Ethanol,standard SUV,3.0,12.0,17.0,14.0,3.0,No
SAAB 9-3 Sport Sedan,2.0,4,Man-6,2WD,Gasoline,small car,6.0,19.0,29.0,23.0,7,yes,GMC Yukon XL 1500,5.3,8.0,Auto-6,4WD,Ethanol,standard SUV,3.0,11.0,15.0,12.0,3.0,No
SAAB 9-3 Sport Sedan,2.8,6,Auto-S6,2WD,Gasoline,small car,6.0,15.0,24.0,18.0,5,no,JEEP Cherokee,2.4,4.0,Auto-9,2WD,Ethanol,small SUV,3.0,15.0,22.0,18.0,5.0,No
SAAB 9-3 Sport Sedan,2.8,6,Man-6,2WD,Gasoline,small car,6.0,16.0,26.0,19.0,5,no,JEEP Cherokee,2.4,4.0,Auto-9,4WD,Ethanol,small SUV,3.0,14.0,21.0,17.0,5.0,No
SAAB 9-3 Sportcombi,2.0,4,Auto-S5,2WD,Gasoline,station wagon,6.0,18.0,24.0,20.0,6,no,KARMA Revero,2.0,4.0,Auto-1,2WD,Gasoline,small car,1.0,20.0,21.0,20.0,10.0,No
SAAB 9-3 Sportcombi,2.0,4,Man-6,2WD,Gasoline,station wagon,6.0,19.0,29.0,23.0,7,yes,MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Ethanol,small car,5.0,17.0,24.0,20.0,6.0,No
SAAB 9-3 Sportcombi,2.8,6,Auto-S6,2WD,Gasoline,station wagon,6.0,15.0,24.0,18.0,5,no,MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Ethanol,small SUV,5.0,17.0,23.0,19.0,5.0,No
SAAB 9-3 Sportcombi,2.8,6,Man-6,2WD,Gasoline,station wagon,6.0,16.0,26.0,19.0,5,no,MERCEDES-BENZ GLE350 4Matic,3.5,6.0,Auto-7,4WD,Ethanol,standard SUV,3.0,13.0,17.0,14.0,3.0,No
SAAB 9-5,2.3,4,Auto-S5,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6,no,MINI Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Gasoline,midsize car,3.0,28.0,27.0,27.0,9.0,Yes
SAAB 9-5,2.3,4,Man-5,2WD,Gasoline,midsize car,6.0,18.0,28.0,21.0,6,no,TOYOTA Sequoia FFV,5.7,8.0,SemiAuto-6,4WD,Ethanol,standard SUV,5.0,9.0,13.0,10.0,1.0,No
SAAB 9-5 Sportcombi,2.3,4,Auto-S5,2WD,Gasoline,station wagon,6.0,17.0,26.0,20.0,6,no,TOYOTA Tundra FFV,5.7,8.0,SemiAuto-6,4WD,Ethanol,pickup,5.0,9.0,12.0,10.0,2.0,No
SAAB 9-5 Sportcombi,2.3,4,Man-5,2WD,Gasoline,station wagon,6.0,18.0,28.0,21.0,6,no,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7.0,26.0,33.0,29.0,10.0,Elite
SAAB 9-7X,5.3,8,Auto-L4,4WD,Gasoline,SUV,6.0,13.0,19.0,16.0,4,no,VOLVO XC 60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7.0,26.0,28.0,26.0,10.0,Elite
SAAB 9-7X,6.0,8,Auto-L4,4WD,Gasoline,SUV,6.0,12.0,16.0,13.0,1,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,standard SUV,7.0,26.0,30.0,27.0,10.0,Elite
SALEEN S281,5.0,8,Man-6,2WD,Gasoline,small car,6.0,12.0,18.0,14.0,2,no,BMW 330e,2.0,4.0,SemiAuto-8,2WD,Electricity,small car,3.0,66.0,78.0,71.0,10.0,Yes
SATURN Aura,3.5,6,Auto-L4,2WD,Gasoline,midsize car,7.0,18.0,29.0,22.0,6,yes,BMW 530e,2.0,4.0,SemiAuto-8,2WD,Electricity,small car,7.0,70.0,75.0,72.0,10.0,Elite
SATURN Aura,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,22.0,30.0,25.0,7,yes,BMW 530e,2.0,4.0,SemiAuto-8,4WD,Electricity,small car,7.0,66.0,68.0,67.0,10.0,Elite
SATURN Aura,3.6,6,Auto-S6,2WD,Gasoline,midsize car,6.0,17.0,26.0,20.0,6,no,BMW 740e,2.0,4.0,SemiAuto-8,4WD,Electricity,large car,3.0,62.0,68.0,64.0,9.0,Yes
SATURN Aura Hybrid,2.4,4,Auto-L4,2WD,Gasoline,midsize car,6.0,24.0,32.0,27.0,8,yes,CHEVROLET Impala,3.6,6.0,SemiAuto-6,2WD,Gas,large car,5.0,18.0,28.0,22.0,4.0,No
SATURN Outlook,3.6,6,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5,no,CHEVROLET Silverado 15,4.3,6.0,Auto-6,2WD,Gas,pickup,5.0,18.0,24.0,20.0,4.0,No
SATURN Outlook,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,CHEVROLET Silverado 15,4.3,6.0,Auto-6,4WD,Gas,pickup,5.0,17.0,22.0,19.0,3.0,No
SATURN Sky,2.0,4,Auto-L5,2WD,Gasoline,small car,6.0,19.0,26.0,21.0,6,no,CHEVROLET Silverado 15,5.3,8.0,Auto-6,2WD,Gas,pickup,3.0,16.0,23.0,19.0,3.0,No
SATURN Sky,2.0,4,Man-5,2WD,Gasoline,small car,6.0,19.0,28.0,22.0,6,no,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No
SATURN Sky,2.4,4,Auto-L5,2WD,Gasoline,small car,6.0,19.0,24.0,21.0,6,no,CHEVROLET Suburban 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No
SATURN Sky,2.4,4,Man-5,2WD,Gasoline,small car,6.0,19.0,25.0,21.0,6,no,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No
SATURN Vue,3.5,6,Auto-L6,4WD,Gasoline,SUV,6.0,15.0,22.0,17.0,4,no,CHEVROLET Tahoe 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No
SATURN Vue,3.6,6,Auto-L6,2WD,Gasoline,SUV,6.0,16.0,23.0,19.0,5,no,CHEVROLET Volt,1.5,4.0,CVT,2WD,Electricity,small car,3.0,113.0,99.0,106.0,10.0,Yes
SATURN Vue,3.6,6,Auto-S6,2WD,Gasoline,SUV,6.0,16.0,24.0,19.0,5,no,CHEVROLET Volt,1.5,4.0,CVT,2WD,Electricity,small car,7.0,113.0,99.0,106.0,10.0,Elite
SATURN Vue,3.6,6,Auto-L6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,CHRYSLER 300,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No
SATURN Vue,3.6,6,Auto-S6,4WD,Gasoline,SUV,6.0,16.0,22.0,18.0,5,no,CHRYSLER 300,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No
SHELBY Mustang GT,4.6,8,Man-5,2WD,Gasoline,small car,6.0,15.0,22.0,17.0,4,no,DODGE Charger,3.6,6.0,Auto-8,2WD,Gas,large car,3.0,19.0,30.0,23.0,5.0,No
SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,9.5,20.0,26.0,22.0,6,yes,DODGE Charger,3.6,6.0,Auto-8,4WD,Gas,large car,3.0,18.0,27.0,21.0,4.0,No
SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,9.5,20.0,27.0,22.0,6,yes,FORD Fusion Energi Plug-in Hybrid,2.0,4.0,CVT,2WD,Electricity,midsize car,7.0,102.0,91.0,97.0,10.0,Elite
SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,6.0,18.0,23.0,20.0,6,no,GMC Sierra 15,4.3,6.0,Auto-6,2WD,Gas,pickup,5.0,18.0,24.0,20.0,4.0,No
SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,6.0,19.0,25.0,21.0,6,no,GMC Sierra 15,4.3,6.0,Auto-6,4WD,Gas,pickup,5.0,17.0,22.0,19.0,3.0,No
SUBARU Forester,2.5,4,Auto-L4,4WD,Gasoline,SUV,6.0,20.0,26.0,22.0,6,no,GMC Sierra 15,5.3,8.0,Auto-6,2WD,Gas,pickup,3.0,16.0,23.0,19.0,3.0,No
SUBARU Forester,2.5,4,Man-5,4WD,Gasoline,SUV,6.0,20.0,27.0,22.0,6,no,GMC Yukon 1500,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No
SUBARU Impreza,2.5,4,Man-5,4WD,Gasoline,small car,6.0,19.0,25.0,21.0,6,no,GMC Yukon 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No
SUBARU Impreza,2.5,4,Auto-S4,4WD,Gasoline,small car,6.0,20.0,25.0,22.0,6,no,GMC Yukon 1500 XL,5.3,8.0,Auto-6,2WD,Gas,standard SUV,3.0,16.0,23.0,19.0,3.0,No
SUBARU Impreza,2.5,4,Man-5,4WD,Gasoline,small car,6.0,20.0,27.0,22.0,6,no,GMC Yukon XL 1500,5.3,8.0,Auto-6,4WD,Gas,standard SUV,3.0,16.0,22.0,18.0,3.0,No
SUBARU Impreza,2.5,4,Auto-S4,4WD,Gasoline,small car,6.0,20.0,27.0,22.0,6,no,JEEP Cherokee,2.4,4.0,Auto-9,2WD,Gas,small SUV,3.0,21.0,30.0,25.0,5.0,No
SUBARU Impreza Wagon,2.5,4,Man-6,4WD,Gasoline,station wagon,6.0,17.0,23.0,19.0,5,no,JEEP Cherokee,2.4,4.0,Auto-9,4WD,Gas,small SUV,3.0,21.0,28.0,23.0,5.0,No
SUBARU Impreza Wagon,2.5,4,Man-5,4WD,Gasoline,station wagon,6.0,19.0,25.0,21.0,6,no,KARMA Revero,2.0,4.0,Auto-1,2WD,Electricity,small car,1.0,59.0,61.0,60.0,10.0,No
SUBARU Impreza Wagon,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6.0,20.0,25.0,22.0,6,no,MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gas,small car,5.0,24.0,32.0,27.0,6.0,No
SUBARU Impreza Wagon,2.5,4,Man-5,4WD,Gasoline,station wagon,6.0,20.0,27.0,22.0,6,no,MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gas,small SUV,5.0,23.0,31.0,26.0,5.0,No
SUBARU Impreza Wagon,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6.0,20.0,27.0,22.0,6,no,MERCEDES-BENZ GLE350 4Matic,3.5,6.0,Auto-7,4WD,Gas,standard SUV,3.0,18.0,22.0,19.0,3.0,No
SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,9.5,20.0,27.0,22.0,6,yes,MINI Cooper SE Countryman All4,1.5,3.0,SemiAuto-6,4WD,Electricity,midsize car,3.0,63.0,66.0,65.0,9.0,Yes
SUBARU Legacy,2.5,4,Auto-S4,4WD,Gasoline,small car,9.5,20.0,27.0,22.0,6,yes,TOYOTA Sequoia FFV,5.7,8.0,SemiAuto-6,4WD,Gas,standard SUV,5.0,13.0,17.0,14.0,1.0,No
SUBARU Legacy,2.5,4,Man-6,4WD,Gasoline,small car,6.0,17.0,24.0,20.0,6,no,TOYOTA Tundra FFV,5.7,8.0,SemiAuto-6,4WD,Gas,pickup,5.0,13.0,17.0,15.0,2.0,No
SUBARU Legacy,2.5,4,Auto-S5,4WD,Gasoline,small car,6.0,18.0,24.0,20.0,6,no,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Electricity,midsize car,7.0,70.0,72.0,71.0,10.0,Elite
SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,6.0,19.0,25.0,21.0,6,no,VOLVO XC 60,2.0,4.0,SemiAuto-8,4WD,Electricity,small SUV,7.0,60.0,58.0,59.0,10.0,Elite
SUBARU Legacy,2.5,4,Man-5,4WD,Gasoline,small car,6.0,20.0,27.0,22.0,6,no,VOLVO XC 90,2.0,4.0,SemiAuto-8,4WD,Electricity,standard SUV,7.0,63.0,61.0,62.0,10.0,Elite
SUBARU Legacy,2.5,4,Auto-S4,4WD,Gasoline,small car,6.0,20.0,27.0,22.0,6,no,,,,,,,,,,,,,
SUBARU Legacy,3.0,6,Auto-S5,4WD,Gasoline,small car,6.0,17.0,24.0,20.0,6,no,,,,,,,,,,,,,
SUBARU Outback Sport,2.5,4,Man-6,4WD,Gasoline,station wagon,6.0,17.0,23.0,19.0,5,no,,,,,,,,,,,,,
SUBARU Outback Sport,2.5,4,Man-5,4WD,Gasoline,station wagon,6.0,19.0,25.0,21.0,6,no,,,,,,,,,,,,,
SUBARU Outback Sport,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6.0,20.0,25.0,22.0,6,no,,,,,,,,,,,,,
SUBARU Outback Sport,2.5,4,Man-5,4WD,Gasoline,station wagon,6.0,20.0,27.0,22.0,6,no,,,,,,,,,,,,,
SUBARU Outback Sport,2.5,4,Auto-S4,4WD,Gasoline,station wagon,6.0,20.0,27.0,22.0,6,no,,,,,,,,,,,,,
